"","rf.false","rf.true"
"index_237712",0.162,0.838
"index_178798",0.874,0.126
"index_122783",1,0
"index_107510",1,0
"index_203271",0.55,0.45
"index_175485",1,0
"index_187130",1,0
"index_180497",1,0
"index_6216",1,0
"index_147355",0.356,0.644
"index_83963",1,0
"index_175751",1,0
"index_176842",0.85,0.15
"index_64968",1,0
"index_172130",1,0
"index_113115",1,0
"index_77654",1,0
"index_168371",1,0
"index_78645",1,0
"index_170836",1,0
"index_137183",0,1
"index_44657",1,0
"index_55169",1,0
"index_96994",1,0
"index_66208",0.008,0.992
"index_118867",1,0
"index_40865",1,0
"index_191308",1,0
"index_152789",1,0
"index_96332",0.194,0.806
"index_28445",1,0
"index_191919",0.002,0.998
"index_219465",1,0
"index_191409",1,0
"index_67680",0.744,0.256
"index_83975",1,0
"index_204364",0.744,0.256
"index_53376",0.988,0.012
"index_45515",0.69,0.31
"index_18969",1,0
"index_19557",1,0
"index_207592",1,0
"index_77508",1,0
"index_38878",0.62,0.38
"index_31081",1,0
"index_225908",1,0
"index_192731",0.99,0.01
"index_47853",0.016,0.984
"index_31884",1,0
"index_82074",1,0
"index_115994",0.45,0.55
"index_201426",0.998,0.002
"index_46599",0.356,0.644
"index_233437",0,1
"index_100884",1,0
"index_236056",1,0
"index_120183",1,0
"index_110583",1,0
"index_117646",1,0
"index_66363",1,0
"index_175716",0.426,0.574
"index_214360",1,0
"index_237231",1,0
"index_145508",0,1
"index_248907",0.99,0.01
"index_101887",0.952,0.048
"index_166730",1,0
"index_528",0,1
"index_216941",1,0
"index_43947",0.016,0.984
"index_165257",1,0
"index_63993",1,0
"index_81268",0.222,0.778
"index_78764",1,0
"index_138466",0.988,0.012
"index_162",0.658,0.342
"index_177438",0.988,0.012
"index_10202",0.93,0.07
"index_215994",1,0
"index_182858",1,0
"index_100660",1,0
"index_120566",1,0
"index_68717",1,0
"index_178494",1,0
"index_53513",0.988,0.012
"index_134638",0.01,0.99
"index_115805",1,0
"index_180494",1,0
"index_126551",1,0
"index_51493",1,0
"index_72143",1,0
"index_161954",0.01,0.99
"index_165077",1,0
"index_68803",1,0
"index_190745",1,0
"index_195623",1,0
"index_72238",1,0
"index_35995",1,0
"index_66776",0.356,0.644
"index_3454",1,0
"index_26783",1,0
"index_27634",1,0
"index_97666",1,0
"index_80424",0.194,0.806
"index_142088",1,0
"index_19999",1,0
"index_111231",1,0
"index_101372",1,0
"index_131293",1,0
"index_88800",0.658,0.342
"index_110713",1,0
"index_233206",0.64,0.36
"index_19797",1,0
"index_136529",0.162,0.838
"index_139819",1,0
"index_92844",1,0
"index_83936",1,0
"index_221827",1,0
"index_80590",1,0
"index_34467",0.744,0.256
"index_179113",0.996,0.004
"index_229289",1,0
"index_150833",1,0
"index_26171",1,0
"index_10722",0.368,0.632
"index_131448",1,0
"index_97769",1,0
"index_99017",1,0
"index_187052",1,0
"index_145842",0.998,0.002
"index_25966",0.442,0.558
"index_162735",0.01,0.99
"index_181945",1,0
"index_152799",1,0
"index_101728",1,0
"index_165251",1,0
"index_60432",0.728,0.272
"index_48176",0.016,0.984
"index_135614",0.878,0.122
"index_162819",1,0
"index_94443",1,0
"index_7495",1,0
"index_178331",1,0
"index_182747",1,0
"index_3801",1,0
"index_227079",1,0
"index_23968",0.744,0.256
"index_179497",1,0
"index_160754",1,0
"index_157783",0,1
"index_159946",1,0
"index_166545",1,0
"index_180137",1,0
"index_96020",1,0
"index_157046",1,0
"index_5750",1,0
"index_140190",1,0
"index_226018",1,0
"index_49156",0,1
"index_221710",1,0
"index_142057",1,0
"index_1853",0.426,0.574
"index_11012",1,0
"index_102766",0.046,0.954
"index_229040",1,0
"index_142631",0.998,0.002
"index_67217",1,0
"index_179981",0.078,0.922
"index_217658",1,0
"index_19127",1,0
"index_217695",0.988,0.012
"index_43245",1,0
"index_70553",1,0
"index_152692",1,0
"index_221321",1,0
"index_212521",1,0
"index_106042",1,0
"index_238236",1,0
"index_23955",1,0
"index_32044",0.222,0.778
"index_134537",0.046,0.954
"index_245255",1,0
"index_5519",1,0
"index_56695",0.332,0.668
"index_152153",0.846,0.154
"index_171141",1,0
"index_203795",0.978,0.022
"index_13055",1,0
"index_219915",0.62,0.38
"index_159623",0.99,0.01
"index_180088",1,0
"index_210100",1,0
"index_235764",0.162,0.838
"index_131956",1,0
"index_62311",0.002,0.998
"index_99698",1,0
"index_41737",0.346,0.654
"index_79610",0.506,0.494
"index_79873",1,0
"index_231131",1,0
"index_133520",1,0
"index_180753",1,0
"index_46451",0.988,0.012
"index_191682",1,0
"index_65933",0.058,0.942
"index_174766",0,1
"index_163097",0,1
"index_17674",1,0
"index_26610",1,0
"index_217458",0.874,0.126
"index_168720",1,0
"index_35409",1,0
"index_153373",0.01,0.99
"index_90312",1,0
"index_170005",0.008,0.992
"index_11415",1,0
"index_242079",0.89,0.11
"index_149923",0.162,0.838
"index_129314",1,0
"index_49836",1,0
"index_120400",0.69,0.31
"index_55200",0,1
"index_83619",0.1,0.9
"index_72796",0.878,0.122
"index_230912",1,0
"index_205990",1,0
"index_129422",1,0
"index_63602",0.916,0.084
"index_11542",1,0
"index_234353",0.162,0.838
"index_69097",1,0
"index_229639",1,0
"index_216720",1,0
"index_39679",1,0
"index_12745",1,0
"index_141801",0.45,0.55
"index_132818",0.69,0.31
"index_194185",1,0
"index_115421",0.01,0.99
"index_83603",0.878,0.122
"index_247547",0.726,0.274
"index_151357",1,0
"index_224480",1,0
"index_110752",1,0
"index_125622",1,0
"index_47996",0.93,0.07
"index_30536",1,0
"index_10445",0.45,0.55
"index_94208",1,0
"index_248087",0.64,0.36
"index_135431",0.1,0.9
"index_134394",0.338,0.662
"index_103139",1,0
"index_125762",1,0
"index_184224",0.69,0.31
"index_39278",1,0
"index_181694",0.55,0.45
"index_95574",1,0
"index_157395",0.356,0.644
"index_238011",0.62,0.38
"index_24636",0.346,0.654
"index_79814",1,0
"index_228969",1,0
"index_65591",0.45,0.55
"index_239330",0.004,0.996
"index_177920",1,0
"index_7455",1,0
"index_144931",1,0
"index_15503",0.078,0.922
"index_92772",1,0
"index_59247",1,0
"index_197267",0.45,0.55
"index_52746",1,0
"index_150416",1,0
"index_70099",1,0
"index_81692",1,0
"index_151061",1,0
"index_224009",0.078,0.922
"index_222036",1,0
"index_233035",0.728,0.272
"index_15798",1,0
"index_43139",0.194,0.806
"index_229579",0.162,0.838
"index_140823",1,0
"index_154917",1,0
"index_227752",1,0
"index_241601",1,0
"index_191126",0.64,0.36
"index_82384",0.058,0.942
"index_172915",1,0
"index_49145",0,1
"index_201872",1,0
"index_178347",1,0
"index_39140",0.99,0.01
"index_246431",0.878,0.122
"index_222212",1,0
"index_209628",1,0
"index_39650",1,0
"index_153207",0.998,0.002
"index_210852",1,0
"index_902",0.442,0.558
"index_158890",1,0
"index_208422",1,0
"index_190281",1,0
"index_193499",1,0
"index_77606",0.64,0.36
"index_185270",0.878,0.122
"index_220388",1,0
"index_194079",1,0
"index_110777",0.99,0.01
"index_140028",1,0
"index_100256",1,0
"index_163230",1,0
"index_114663",0.64,0.36
"index_206669",1,0
"index_1472",1,0
"index_176812",1,0
"index_41110",1,0
"index_17957",1,0
"index_136990",1,0
"index_185212",0.058,0.942
"index_147969",0.162,0.838
"index_167889",0.45,0.55
"index_230254",1,0
"index_67044",1,0
"index_119027",0,1
"index_154214",0.162,0.838
"index_176693",1,0
"index_221121",0.998,0.002
"index_140128",1,0
"index_229834",0.032,0.968
"index_225331",0,1
"index_7718",0.044,0.956
"index_144203",0.162,0.838
"index_93545",1,0
"index_153055",0.01,0.99
"index_171960",1,0
"index_101883",1,0
"index_188676",1,0
"index_104810",1,0
"index_125424",1,0
"index_116979",1,0
"index_89056",1,0
"index_182357",1,0
"index_143614",0.69,0.31
"index_201355",1,0
"index_80975",1,0
"index_179049",0.834,0.166
"index_1759",1,0
"index_205762",1,0
"index_27584",0.01,0.99
"index_226969",1,0
"index_43775",0.62,0.38
"index_233048",1,0
"index_177254",1,0
"index_95309",0,1
"index_36440",1,0
"index_93078",0.356,0.644
"index_52378",1,0
"index_218734",1,0
"index_64830",1,0
"index_227444",1,0
"index_65564",0.01,0.99
"index_7801",0.1,0.9
"index_124426",0.678,0.322
"index_219633",0.62,0.38
"index_181396",1,0
"index_105231",1,0
"index_27948",1,0
"index_20680",1,0
"index_233137",1,0
"index_205519",1,0
"index_194255",0.64,0.36
"index_53451",0.85,0.15
"index_239383",0.988,0.012
"index_186100",0.874,0.126
"index_18147",1,0
"index_9099",0,1
"index_87001",1,0
"index_178177",0.69,0.31
"index_197192",1,0
"index_3799",1,0
"index_89596",0.016,0.984
"index_16899",0.69,0.31
"index_166813",0.002,0.998
"index_179692",1,0
"index_161134",0,1
"index_162315",0.002,0.998
"index_131926",0.016,0.984
"index_78032",1,0
"index_13811",1,0
"index_64624",0.85,0.15
"index_36419",0.64,0.36
"index_133925",0.878,0.122
"index_202530",1,0
"index_247835",1,0
"index_15147",0.194,0.806
"index_86170",0.008,0.992
"index_195674",1,0
"index_103300",1,0
"index_27311",1,0
"index_49678",1,0
"index_178371",1,0
"index_27940",1,0
"index_151975",1,0
"index_204372",1,0
"index_119396",1,0
"index_115091",1,0
"index_150598",1,0
"index_127006",1,0
"index_40659",0.338,0.662
"index_210311",1,0
"index_100111",1,0
"index_233578",1,0
"index_51884",1,0
"index_44261",0.078,0.922
"index_135576",1,0
"index_42519",1,0
"index_247019",0.45,0.55
"index_22284",1,0
"index_156808",1,0
"index_205906",0.89,0.11
"index_34199",0.64,0.36
"index_94481",1,0
"index_130230",1,0
"index_108941",0.002,0.998
"index_193334",1,0
"index_55865",1,0
"index_182211",0.85,0.15
"index_145466",0.194,0.806
"index_42463",0.878,0.122
"index_73532",1,0
"index_31554",1,0
"index_107583",1,0
"index_112359",0.044,0.956
"index_147694",1,0
"index_6551",0.802,0.198
"index_114217",1,0
"index_222389",0.726,0.274
"index_136101",1,0
"index_172569",1,0
"index_155013",1,0
"index_87841",0.032,0.968
"index_117070",0.802,0.198
"index_205075",0.346,0.654
"index_198993",0.874,0.126
"index_106354",1,0
"index_167764",0.874,0.126
"index_114114",1,0
"index_47371",1,0
"index_192045",0,1
"index_22884",0.64,0.36
"index_47092",1,0
"index_140173",0.162,0.838
"index_166032",0.69,0.31
"index_117136",0,1
"index_175099",0.194,0.806
"index_188352",0,1
"index_47624",0.988,0.012
"index_100966",0.008,0.992
"index_135719",1,0
"index_122264",0.194,0.806
"index_221237",0.998,0.002
"index_17651",1,0
"index_174417",1,0
"index_157459",1,0
"index_229417",0.01,0.99
"index_45302",0.01,0.99
"index_132122",1,0
"index_222988",1,0
"index_169841",1,0
"index_109215",1,0
"index_7449",1,0
"index_58262",0.162,0.838
"index_93904",1,0
"index_156863",1,0
"index_114259",0.978,0.022
"index_156331",0.846,0.154
"index_161881",0.802,0.198
"index_217304",1,0
"index_102444",1,0
"index_125566",0.846,0.154
"index_172502",0.846,0.154
"index_101880",0.55,0.45
"index_187700",0.64,0.36
"index_235279",0,1
"index_203117",1,0
"index_213959",1,0
"index_63358",0.988,0.012
"index_208925",0.55,0.45
"index_188622",0.162,0.838
"index_146806",1,0
"index_111848",0.474,0.526
"index_110384",1,0
"index_20430",0,1
"index_224166",1,0
"index_136737",0.338,0.662
"index_5448",1,0
"index_11771",0.058,0.942
"index_670",0,1
"index_159448",1,0
"index_72365",1,0
"index_241349",1,0
"index_81376",0.506,0.494
"index_70887",0.064,0.936
"index_162948",1,0
"index_105890",0.338,0.662
"index_106223",0.044,0.956
"index_247367",0.008,0.992
"index_154155",0.998,0.002
"index_200888",0.45,0.55
"index_218144",1,0
"index_155861",0.078,0.922
"index_58533",1,0
"index_76347",1,0
"index_245214",0.846,0.154
"index_178051",1,0
"index_2566",0,1
"index_115625",0.004,0.996
"index_93505",1,0
"index_13504",0.45,0.55
"index_212085",0,1
"index_127977",0.582,0.418
"index_20290",1,0
"index_230384",0.194,0.806
"index_230674",1,0
"index_32781",1,0
"index_230316",1,0
"index_199412",1,0
"index_171094",1,0
"index_220970",1,0
"index_17145",0.02,0.98
"index_183511",1,0
"index_89059",1,0
"index_122763",0.032,0.968
"index_113863",1,0
"index_225781",1,0
"index_153428",1,0
"index_236449",1,0
"index_232232",1,0
"index_227760",1,0
"index_4624",0.62,0.38
"index_68044",1,0
"index_111441",1,0
"index_16199",1,0
"index_101125",1,0
"index_237000",1,0
"index_153388",1,0
"index_219952",0.45,0.55
"index_133380",0.878,0.122
"index_104695",1,0
"index_140276",1,0
"index_100523",1,0
"index_236861",1,0
"index_514",1,0
"index_113262",0.022,0.978
"index_205839",1,0
"index_209024",1,0
"index_217567",0.64,0.36
"index_111092",1,0
"index_227499",1,0
"index_36743",0.016,0.984
"index_120385",1,0
"index_235806",0.802,0.198
"index_163042",1,0
"index_82225",1,0
"index_31941",0.194,0.806
"index_68379",1,0
"index_93114",0.426,0.574
"index_158169",0.62,0.38
"index_54624",0.846,0.154
"index_43329",1,0
"index_22583",1,0
"index_40175",1,0
"index_214538",1,0
"index_222745",1,0
"index_130988",1,0
"index_171902",1,0
"index_167339",1,0
"index_128222",1,0
"index_21943",1,0
"index_241312",1,0
"index_112225",1,0
"index_56706",0.988,0.012
"index_151615",1,0
"index_116938",0.874,0.126
"index_185158",1,0
"index_92556",1,0
"index_127403",1,0
"index_167127",1,0
"index_103623",0.658,0.342
"index_197673",1,0
"index_100151",1,0
"index_66927",1,0
"index_187525",1,0
"index_230471",1,0
"index_170862",0.846,0.154
"index_28268",0.988,0.012
"index_173414",1,0
"index_20495",1,0
"index_106607",1,0
"index_94579",0.69,0.31
"index_237464",1,0
"index_116477",1,0
"index_71859",1,0
"index_147922",1,0
"index_170195",0.45,0.55
"index_152293",0.878,0.122
"index_207355",0.802,0.198
"index_218974",1,0
"index_6239",1,0
"index_97821",0.426,0.574
"index_31492",0.356,0.644
"index_236835",1,0
"index_113965",1,0
"index_155897",0.732,0.268
"index_183160",1,0
"index_173341",1,0
"index_48228",0,1
"index_171474",0.032,0.968
"index_131878",1,0
"index_115786",0.002,0.998
"index_96300",0.058,0.942
"index_33415",1,0
"index_152954",0.85,0.15
"index_147238",1,0
"index_162599",1,0
"index_147947",0.338,0.662
"index_201409",0.69,0.31
"index_131136",1,0
"index_14193",1,0
"index_12306",0.162,0.838
"index_47204",0.62,0.38
"index_103872",1,0
"index_233128",1,0
"index_185383",0.846,0.154
"index_85294",0.45,0.55
"index_228497",1,0
"index_155075",0,1
"index_188830",1,0
"index_172222",1,0
"index_23113",1,0
"index_164028",0.222,0.778
"index_15481",0.846,0.154
"index_59160",1,0
"index_138265",1,0
"index_245",1,0
"index_66691",1,0
"index_209534",1,0
"index_83082",1,0
"index_2248",0.356,0.644
"index_10484",0.162,0.838
"index_63339",0.988,0.012
"index_182583",0.978,0.022
"index_247762",1,0
"index_147995",0.62,0.38
"index_208166",1,0
"index_24284",1,0
"index_1346",0.62,0.38
"index_77733",0.45,0.55
"index_93850",0.194,0.806
"index_87045",1,0
"index_111739",0.996,0.004
"index_7623",0.802,0.198
"index_173143",1,0
"index_141052",1,0
"index_197747",0.85,0.15
"index_248732",1,0
"index_228627",1,0
"index_172784",1,0
"index_132353",1,0
"index_178987",0.942,0.058
"index_115989",0.988,0.012
"index_27777",1,0
"index_136899",0.916,0.084
"index_26257",1,0
"index_134275",0.338,0.662
"index_210779",1,0
"index_87292",1,0
"index_197109",1,0
"index_106322",1,0
"index_4563",0.046,0.954
"index_60579",1,0
"index_136120",1,0
"index_204371",0.64,0.36
"index_146371",1,0
"index_157462",1,0
"index_229467",0.988,0.012
"index_49963",1,0
"index_96886",1,0
"index_211917",1,0
"index_100052",1,0
"index_42707",1,0
"index_192360",1,0
"index_95040",1,0
"index_139199",0.162,0.838
"index_219121",0.878,0.122
"index_151534",0.89,0.11
"index_228381",0.356,0.644
"index_39791",1,0
"index_77162",1,0
"index_132907",0.332,0.668
"index_184738",0.928,0.072
"index_190018",1,0
"index_154369",1,0
"index_196949",1,0
"index_15074",0.016,0.984
"index_77671",0.64,0.36
"index_77446",0.802,0.198
"index_22979",1,0
"index_107470",1,0
"index_200914",0.426,0.574
"index_232469",0.194,0.806
"index_182267",0.1,0.9
"index_249532",0.194,0.806
"index_72257",0.62,0.38
"index_69146",1,0
"index_107927",1,0
"index_113043",1,0
"index_23949",1,0
"index_246284",1,0
"index_90553",0.078,0.922
"index_139041",1,0
"index_106256",0.338,0.662
"index_235715",1,0
"index_66482",1,0
"index_114175",1,0
"index_21801",0.802,0.198
"index_104892",1,0
"index_129072",0.85,0.15
"index_187883",1,0
"index_148352",0.162,0.838
"index_63209",0.332,0.668
"index_28651",1,0
"index_236543",0.954,0.046
"index_68790",0.022,0.978
"index_42880",1,0
"index_48274",1,0
"index_168363",1,0
"index_234153",0.988,0.012
"index_211048",1,0
"index_180807",1,0
"index_2491",1,0
"index_168288",1,0
"index_164335",0.99,0.01
"index_79283",1,0
"index_121459",1,0
"index_46041",1,0
"index_24302",1,0
"index_144708",1,0
"index_80782",1,0
"index_146894",0.046,0.954
"index_180171",0.85,0.15
"index_152361",1,0
"index_3713",0.338,0.662
"index_248154",1,0
"index_164100",1,0
"index_117957",1,0
"index_22441",0.356,0.644
"index_65633",1,0
"index_88772",1,0
"index_82965",0.1,0.9
"index_230350",0.728,0.272
"index_234958",1,0
"index_61422",1,0
"index_222080",0.1,0.9
"index_20225",1,0
"index_222515",0.64,0.36
"index_4392",0.928,0.072
"index_57509",0.97,0.03
"index_171229",1,0
"index_37249",0.194,0.806
"index_14716",1,0
"index_133911",1,0
"index_196758",0.022,0.978
"index_143082",0.162,0.838
"index_67060",1,0
"index_113378",0.802,0.198
"index_152454",1,0
"index_85155",0.64,0.36
"index_230262",1,0
"index_51213",1,0
"index_98484",1,0
"index_128936",0.952,0.048
"index_102561",1,0
"index_185392",1,0
"index_70109",0.426,0.574
"index_57856",1,0
"index_232555",1,0
"index_32279",0.874,0.126
"index_145697",1,0
"index_219395",1,0
"index_182695",0.338,0.662
"index_54576",1,0
"index_168814",0.338,0.662
"index_111927",1,0
"index_217939",0.85,0.15
"index_235024",0.078,0.922
"index_105332",0.1,0.9
"index_243571",0.338,0.662
"index_151113",1,0
"index_201755",1,0
"index_58672",1,0
"index_140893",1,0
"index_145293",0.004,0.996
"index_14442",0.194,0.806
"index_48929",0.62,0.38
"index_104866",0.97,0.03
"index_192463",0,1
"index_218139",1,0
"index_1563",1,0
"index_150781",1,0
"index_111244",1,0
"index_61337",1,0
"index_210986",1,0
"index_162605",1,0
"index_62800",1,0
"index_31530",1,0
"index_156947",0.332,0.668
"index_127464",1,0
"index_197905",0.45,0.55
"index_228310",1,0
"index_183695",1,0
"index_63224",0.058,0.942
"index_172693",1,0
"index_12962",0,1
"index_46694",1,0
"index_16822",1,0
"index_83947",0.802,0.198
"index_244841",0.874,0.126
"index_51095",0.162,0.838
"index_243815",1,0
"index_24539",1,0
"index_3390",0.332,0.668
"index_140894",1,0
"index_67393",1,0
"index_149419",0.064,0.936
"index_71828",1,0
"index_133936",1,0
"index_168572",1,0
"index_116576",0.01,0.99
"index_161036",0.194,0.806
"index_229225",1,0
"index_74785",1,0
"index_179397",1,0
"index_209422",1,0
"index_44818",1,0
"index_129430",0.954,0.046
"index_116608",1,0
"index_194378",0.952,0.048
"index_150789",0.162,0.838
"index_247620",0.01,0.99
"index_73447",0.998,0.002
"index_235813",0.194,0.806
"index_127708",0.954,0.046
"index_56787",0,1
"index_189943",1,0
"index_127603",0,1
"index_132484",1,0
"index_224489",0.942,0.058
"index_105564",1,0
"index_59195",1,0
"index_31623",1,0
"index_87416",0.846,0.154
"index_198208",1,0
"index_198549",1,0
"index_53537",0.426,0.574
"index_36985",1,0
"index_238016",0.62,0.38
"index_98388",0.988,0.012
"index_16528",0.194,0.806
"index_247509",0.176,0.824
"index_17347",0.45,0.55
"index_166473",1,0
"index_114881",1,0
"index_5280",1,0
"index_217535",0.194,0.806
"index_96254",0.988,0.012
"index_23711",0.008,0.992
"index_248360",0.64,0.36
"index_23345",1,0
"index_203410",1,0
"index_229944",0.162,0.838
"index_31773",1,0
"index_244753",1,0
"index_216613",1,0
"index_235272",0.356,0.644
"index_213766",1,0
"index_77537",0.802,0.198
"index_42940",1,0
"index_114463",0.954,0.046
"index_49309",1,0
"index_234232",0,1
"index_88243",1,0
"index_68446",1,0
"index_146244",1,0
"index_84708",1,0
"index_21570",1,0
"index_182493",1,0
"index_159299",0.99,0.01
"index_82098",1,0
"index_155966",0.044,0.956
"index_34567",1,0
"index_175798",0.194,0.806
"index_110778",0.99,0.01
"index_98638",0.62,0.38
"index_102004",1,0
"index_225081",0.678,0.322
"index_171127",0.582,0.418
"index_90576",0.846,0.154
"index_215723",0.732,0.268
"index_116553",0.506,0.494
"index_117094",1,0
"index_205639",0.89,0.11
"index_35064",1,0
"index_16041",0.222,0.778
"index_228263",0.022,0.978
"index_116210",0.356,0.644
"index_113510",1,0
"index_231050",1,0
"index_72875",0,1
"index_29119",0.846,0.154
"index_183237",0.02,0.98
"index_115582",0.726,0.274
"index_54121",0.45,0.55
"index_132870",0.058,0.942
"index_120041",0.62,0.38
"index_72615",1,0
"index_105704",1,0
"index_204221",0.802,0.198
"index_21901",0.55,0.45
"index_24821",1,0
"index_216372",0.1,0.9
"index_215620",0.044,0.956
"index_31244",1,0
"index_26438",1,0
"index_99174",1,0
"index_171375",1,0
"index_123316",1,0
"index_239112",1,0
"index_221415",0.69,0.31
"index_35032",1,0
"index_149037",0.988,0.012
"index_48014",0.032,0.968
"index_120831",1,0
"index_98634",1,0
"index_150811",0.69,0.31
"index_182439",1,0
"index_151701",1,0
"index_51262",1,0
"index_69654",0.01,0.99
"index_136957",0.078,0.922
"index_168501",1,0
"index_152186",1,0
"index_137874",0.004,0.996
"index_140487",1,0
"index_191455",1,0
"index_201948",1,0
"index_210420",0.194,0.806
"index_143523",1,0
"index_65740",1,0
"index_27223",1,0
"index_127098",1,0
"index_109985",0.426,0.574
"index_70837",0.582,0.418
"index_206180",1,0
"index_143774",0.162,0.838
"index_125808",1,0
"index_191002",1,0
"index_140751",1,0
"index_241371",1,0
"index_92778",1,0
"index_17429",1,0
"index_18148",1,0
"index_85463",1,0
"index_235377",0.194,0.806
"index_84607",0.878,0.122
"index_206565",0.004,0.996
"index_154009",0.802,0.198
"index_107299",1,0
"index_227746",1,0
"index_114470",1,0
"index_170680",1,0
"index_187528",1,0
"index_128564",0.802,0.198
"index_146106",0.942,0.058
"index_235875",1,0
"index_119466",1,0
"index_239167",0.45,0.55
"index_218664",0.356,0.644
"index_116205",1,0
"index_131540",1,0
"index_72997",1,0
"index_232222",1,0
"index_213723",1,0
"index_63412",1,0
"index_37913",1,0
"index_207234",0.846,0.154
"index_105581",0.078,0.922
"index_45454",0.878,0.122
"index_58860",1,0
"index_93574",1,0
"index_94039",1,0
"index_92609",1,0
"index_111759",1,0
"index_233518",0,1
"index_153411",0.022,0.978
"index_17148",0,1
"index_183848",0,1
"index_65512",1,0
"index_138499",0.064,0.936
"index_192317",1,0
"index_175056",0.85,0.15
"index_148633",0.878,0.122
"index_230830",1,0
"index_203266",0.846,0.154
"index_19805",1,0
"index_169196",1,0
"index_78482",1,0
"index_140687",0.874,0.126
"index_65919",0.004,0.996
"index_21457",1,0
"index_97925",1,0
"index_42066",1,0
"index_230158",0.802,0.198
"index_234829",1,0
"index_179847",0.008,0.992
"index_77799",0.162,0.838
"index_217779",0.194,0.806
"index_221340",0.032,0.968
"index_133426",1,0
"index_183482",1,0
"index_127136",1,0
"index_156582",0.988,0.012
"index_120395",1,0
"index_244970",1,0
"index_233184",0.078,0.922
"index_248956",1,0
"index_161426",0.1,0.9
"index_161031",0.332,0.668
"index_128856",0.162,0.838
"index_173920",0.62,0.38
"index_121898",0.162,0.838
"index_24164",0.356,0.644
"index_92308",1,0
"index_234466",1,0
"index_229986",0.194,0.806
"index_66481",1,0
"index_29920",0.162,0.838
"index_73416",1,0
"index_129938",1,0
"index_245874",0.162,0.838
"index_177702",1,0
"index_85983",1,0
"index_84677",1,0
"index_107849",1,0
"index_215315",1,0
"index_80589",1,0
"index_90513",1,0
"index_20760",1,0
"index_54611",1,0
"index_148566",1,0
"index_232676",1,0
"index_80979",1,0
"index_249275",0.356,0.644
"index_114916",1,0
"index_180786",1,0
"index_106014",1,0
"index_96018",1,0
"index_23992",0,1
"index_86656",1,0
"index_220113",0,1
"index_225027",0.162,0.838
"index_197182",0.998,0.002
"index_34030",0,1
"index_12725",0.194,0.806
"index_73268",1,0
"index_55329",0,1
